rating_numerator,timestamp
10,2015-12-08 02:23:09
3,2015-12-08 01:57:39
12,2015-12-08 01:47:22
12,2015-12-08 01:30:12
9,2015-12-08 01:21:40
10,2015-12-08 00:37:11
10,2015-12-08 00:15:09
11,2015-12-07 23:55:26
10,2015-12-07 23:33:58
10,2015-12-07 20:07:04
11,2015-12-07 17:38:09
3,2015-12-07 16:46:21
10,2015-12-07 15:32:42
4,2015-12-07 04:09:13
10,2015-12-07 03:51:47
12,2015-12-07 03:45:53
12,2015-12-07 03:40:24
10,2015-12-07 03:34:14
8,2015-12-07 03:28:45
3,2015-12-07 03:07:12
8,2015-12-07 02:58:09
11,2015-12-07 02:25:23
9,2015-12-07 02:21:29
11,2015-12-07 02:13:55
13,2015-12-07 01:47:30
12,2015-12-07 00:37:52
10,2015-12-07 00:12:23
10,2015-12-06 22:54:44
7,2015-12-06 21:19:54
11,2015-12-06 19:21:47
8,2015-12-06 19:13:01
7,2015-12-06 18:56:46
11,2015-12-06 04:49:31
8,2015-12-06 04:34:25
11,2015-12-06 04:18:46
12,2015-12-06 04:03:51
9,2015-12-06 03:56:12
7,2015-12-06 03:38:05
11,2015-12-06 03:28:27
10,2015-12-06 03:24:51
11,2015-12-06 01:56:44
10,2015-12-06 01:48:12
8,2015-12-06 00:17:55
11,2015-12-05 22:41:22
6,2015-12-05 20:41:29
10,2015-12-05 18:51:11
8,2015-12-05 14:35:56
12,2015-12-05 04:36:04
8,2015-12-05 04:25:50
10,2015-12-05 04:00:04
9,2015-12-05 03:41:37
5,2015-12-05 03:28:25
10,2015-12-05 03:05:49
7,2015-12-05 02:46:02
11,2015-12-05 02:37:35
10,2015-12-05 02:23:49
9,2015-12-04 22:17:55
11,2015-12-04 22:00:08
6,2015-12-04 21:05:23
8,2015-12-04 20:38:19
10,2015-12-04 17:46:12
9,2015-12-04 17:23:04
9,2015-12-04 04:56:09
12,2015-12-04 03:43:54
6,2015-12-04 03:13:46
9,2015-12-04 02:51:33
11,2015-12-04 02:31:10
9,2015-12-04 01:55:13
10,2015-12-04 01:42:26
8,2015-12-04 01:40:29
7,2015-12-03 22:09:14
10,2015-12-03 21:11:09
10,2015-12-03 18:52:12
10,2015-12-03 18:29:09
12,2015-12-03 18:23:34
8,2015-12-03 17:58:48
12,2015-12-03 17:23:00
11,2015-12-03 04:33:27
10,2015-12-03 04:14:13
10,2015-12-03 04:01:02
8,2015-12-03 03:30:19
11,2015-12-03 03:21:00
10,2015-12-03 02:56:30
12,2015-12-03 02:45:32
7,2015-12-03 02:21:48
5,2015-12-03 01:49:05
9,2015-12-03 01:16:17
9,2015-12-03 00:07:09
10,2015-12-02 21:45:16
8,2015-12-02 21:06:56
12,2015-12-02 19:44:43
11,2015-12-02 18:48:47
9,2015-12-02 16:49:14
11,2015-12-02 15:57:30
7,2015-12-02 15:01:33
10,2015-12-02 03:40:57
11,2015-12-02 03:20:45
11,2015-12-02 02:42:26
5,2015-12-02 02:30:43
10,2015-12-02 02:13:48
10,2015-12-02 01:39:53
8,2015-12-02 00:58:41
13,2015-12-01 20:35:22
10,2015-12-01 19:10:13
9,2015-12-01 18:50:38
6,2015-12-01 17:37:36
11,2015-12-01 17:30:22
11,2015-12-01 17:00:19
13,2015-12-01 16:37:44
13,2015-12-01 05:26:34
10,2015-12-01 04:33:59
6,2015-12-01 04:22:29
10,2015-12-01 04:14:59
8,2015-12-01 03:56:22
9,2015-12-01 03:49:23
6,2015-12-01 03:39:03
10,2015-12-01 03:18:27
10,2015-12-01 02:46:33
9,2015-12-01 02:38:04
8,2015-12-01 02:09:16
11,2015-12-01 01:42:28
11,2015-12-01 01:14:35
8,2015-12-01 00:38:31
10,2015-12-01 00:30:04
11,2015-12-01 00:24:48
7,2015-11-30 18:07:47
11,2015-11-30 16:18:11
9,2015-11-30 15:59:17
10,2015-11-30 15:51:24
9,2015-11-30 15:18:34
10,2015-11-30 04:37:05
